name,score,k
large1.in,6148.815003314424,8
large10.in,9408.781353172544,9
large100.in,449.2277266951574,3
large101.in,6144.815003314424,8
large102.in,14526.781353172544,9
large103.in,739.905609893065,4
large104.in,7038.815003314424,8
large105.in,1219.2493960703473,4
large106.in,449.22772669516496,3
large107.in,53044.81429317001,8
large108.in,272.8281828459045,2
large109.in,3404.637877844635,6
large11.in,12112.612149386112,7
large110.in,298096.9489779717,16
large111.in,9733.83947420166,9
large112.in,6386.815003314424,8
large113.in,272.8281828459045,2
large114.in,9924.814293169318,8
large115.in,449.2277266951576,4
large116.in,449.2277266951548,3
large117.in,743.9465409632085,4
large118.in,32237.508192222376,8
large119.in,27110.9297768756,8
large12.in,5695.815003314424,8
large120.in,272.8281828459045,2
large121.in,10823.56088149561,8
large122.in,272.8281828459045,2
large123.in,6798.815003314424,8
large124.in,7216.815003314424,8
large125.in,272.8281828459045,2
large126.in,739.905609893065,4
large127.in,739.905609893065,4
large128.in,449.2277266951576,4
large129.in,31782.31591025766,10
large13.in,739.905609893065,4
large130.in,31073.56088149561,8
large131.in,13301.259650403306,8
large132.in,29794.568586974936,9
large133.in,739.905609893065,4
large134.in,34381.52520372574,10
large135.in,5823.815003314424,8
large136.in,739.905609893065,4
large137.in,2009.6378778446249,6
large138.in,8319.815003314423,8
large139.in,739.905609893065,4
large14.in,739.905609893065,4
large140.in,8988.815003314423,8
large141.in,6102.530954911454,6
large142.in,10925.802166549003,8
large143.in,739.905609893065,4
large144.in,7576.815003314424,8
large145.in,748.905609893065,4
large146.in,5460.815003314424,8
large147.in,21707.589070069465,9
large148.in,17829.605663931183,8
large149.in,11009.63787784462,6
large15.in,739.905609893065,4
large150.in,7683.815003314424,8
large151.in,3218.6378778446224,6
large152.in,739.905609893065,4
large153.in,272.8281828459045,2
large154.in,40842.31591025766,10
large155.in,7069.815003314424,8
large156.in,12554.881984455704,9
large157.in,26382.81996802306,10
large158.in,9730.815003314425,8
large159.in,20789.815003314423,8
large16.in,15820.891792308605,8
large160.in,40344.00044834888,10
large161.in,2009.6378778446297,6
large162.in,11460.815003314425,8
large163.in,31481.80216654946,8
large164.in,11513.815003314425,8
large165.in,6318.815003314424,8
large166.in,23171.857658878635,8
large167.in,7364.815003314424,8
large168.in,2009.6378778446256,6
large169.in,14286.815003314425,8
large17.in,6874.815003314424,8
large170.in,739.905609893065,4
large171.in,272.8281828459045,2
large172.in,807.905609893065,4
large173.in,4049.612149386101,7
large174.in,7357.815003314424,8
large175.in,85452.00044834879,12
large176.in,739.905609893065,4
large177.in,6085.815003314424,8
large178.in,5751.815003314424,8
large179.in,739.905609893065,4
large18.in,43366.31591025766,10
large180.in,2866.6378778446297,6
large181.in,272.8281828459045,2
large182.in,10396.815003314425,8
large183.in,14842.31591025766,10
large184.in,739.905609893065,3
large185.in,4599.136060786686,6
large186.in,2009.637877844628,6
large187.in,6361.815003314424,8
large188.in,3701.637877844627,6
large189.in,739.905609893065,4
large19.in,42627.56088149561,8
large190.in,6362.815003314424,8
large191.in,1472.8281828459044,3
large192.in,38840.31591025766,10
large193.in,6137.815003314424,8
large194.in,739.905609893065,4
large195.in,6736.815003314424,8
large196.in,6233.815003314424,8
large197.in,9562.815003314425,8
large198.in,8292.815003314423,8
large199.in,2009.6378778446265,6
large2.in,13466.815003314425,8
large20.in,68841.31591025766,10
large200.in,2009.637877844625,6
large201.in,2009.637877844628,6
large202.in,40344.00044834884,11
large203.in,15455.891792305796,8
large204.in,2009.637877844604,6
large205.in,7386.815003314424,8
large206.in,400.8281828459045,2
large207.in,2009.637877844627,6
large208.in,739.905609893065,4
large209.in,739.905609893065,4
large21.in,462.2277266951576,4
large210.in,739.905609893065,4
large211.in,46050.262246465136,11
large212.in,2009.6378778446265,6
large213.in,11209.815003314425,8
large214.in,13203.815003314425,8
large215.in,13855.422636616568,8
large216.in,700.828182845904,2
large217.in,8876.815003314423,8
large218.in,739.905609893065,4
large219.in,13286.815003314425,7
large22.in,748.905609893065,4
large220.in,7740.815003314424,8
large221.in,5460.815003314424,8
large222.in,47350.508192221605,8
large223.in,17785.931821469938,9
large224.in,41242.69107937125,10
large225.in,449.2277266951632,3
large226.in,12554.88198445573,8
large227.in,449.2277266951576,3
